"TransportationMode" "ClassOfWorker" "Sex" "MaritalStatus" "HealthInsurance" "EducationLevel" "HomeOffice" "AgeBracket" "OccupationType" "RelativeIncome" "CommuteTime"
NA NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
NA NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" "Yes"
NA NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "No Education" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "IT" "Rather Low" "Yes"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "Yes"
NA "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "60+" "Higher Management" "Very Low" NA
NA "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "60+" "Other" "Rather Low" NA
"Driving" "Freelancer" "Male" "Separated, Divorced, Widowed" "Health Insurance" "No Education" "Not Home Office" "50-59" "Other" "Rather Low" "Yes"
NA NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
"Home Office" "Entrepreneur" "Male" "Married" "Health Insurance" "Master" "Home Office" "60+" "Business Development" "Rather High" "Yes"
"Home Office" "Freelancer" "Female" "Married" "Health Insurance" "Bachelor" "Home Office" "50-59" "Design" "Somewhere In The Middle" "Yes"
"Driving" "Freelancer" "Male" "Not Married" "No Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "No"
"Walking" "Employee" "Male" "Not Married" "No Health Insurance" "No Education" "Not Home Office" "18-29" "Other" "Very Low" "No"
"Driving" "Employee" "Female" "Not Married" "No Health Insurance" "No Education" "Not Home Office" "30-39" "Other" "Very Low" "No"
NA NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" NA
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Art" "Very Low" NA
NA "Employee" "Male" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "60+" "Education" "Rather High" NA
NA NA "Female" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "60+" NA "Very Low" NA
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Very Low" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "50-59" "Education" "Rather Low" "Yes"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "50-59" "Education" "Rather Low" "No"
"Public Transit" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Higher Management" "Somewhere In The Middle" "Yes"
"Home Office" "Employee" "Male" "Married" "Health Insurance" "Master" "Home Office" "30-39" "IT" "Rather High" "Yes"
NA NA "Male" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "60+" NA "Rather High" NA
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" NA
NA NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
NA NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
NA NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
NA "Employee" "Female" "Married" "Health Insurance" "No Education" "Not Home Office" "50-59" "Other" "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Very Low" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Rather High" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
NA "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "IT" "Somewhere In The Middle" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Very High" "No"
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
NA NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Master" "Not Home Office" "18-29" "Education" "Somewhere In The Middle" "Yes"
"Driving" "Entrepreneur" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Business Development" "Rather High" "No"
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "Master" "Not Home Office" "18-29" "Education" "Rather Low" "Yes"
"Walking" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "30-39" "Education" "Rather Low" "No"
NA "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Rather Low" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "50-59" "Higher Management" "Rather High" "No"
"Home Office" "Employee" "Male" "Married" "Health Insurance" "Master" "Home Office" "50-59" "Business Development" "Very High" "Yes"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Very Low" "Yes"
"Driving" "Freelancer" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "No"
NA NA "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" NA "Very Low" NA
NA NA "Female" "Married" "Health Insurance" "Master" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Rather Low" "Yes"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "30-39" "Education" "Somewhere In The Middle" "No"
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Education" "Very Low" NA
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "30-39" "Education" "Very Low" "Yes"
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Education" "Very Low" NA
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "PR, Marketing, Sales, Advertising" "Somewhere In The Middle" "Yes"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" "Yes"
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Education" "Very Low" NA
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Biking" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Education" "Very Low" "No"
"Biking" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" NA
NA "Freelancer" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Very Low" NA
"Biking" "Employee" "Female" "Not Married" "Health Insurance" "No Education" "Not Home Office" "40-49" "Other" "Rather Low" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "Yes"
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" NA "Very Low" NA
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "Yes"
NA "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Very Low" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "Yes"
"Driving" "Employee" "Male" "Not Married" "No Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "Yes"
"Biking" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Very Low" "No"
NA "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Somewhere In The Middle" NA
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Very Low" NA
NA "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Rather Low" NA
NA "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Very Low" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "Yes"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "Yes"
NA NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Higher Management" "Somewhere In The Middle" "Yes"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "Yes"
"Public Transit" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Rather Low" "No"
"Public Transit" "Freelancer" "Male" "Not Married" "No Health Insurance" "High School" "Not Home Office" "30-39" "IT" "Very Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" "PR, Marketing, Sales, Advertising" "Rather High" "No"
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
"Walking" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
"Home Office" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Home Office" "30-39" "Education" "Very Low" "Yes"
NA NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
"Driving" "Freelancer" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" "Yes"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Somewhere In The Middle" "Yes"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "Yes"
"Home Office" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Home Office" "40-49" "Higher Management" "Rather Low" "Yes"
"Biking" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Rather Low" "Yes"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Rather Low" "Yes"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "30-39" "Higher Management" "Somewhere In The Middle" "Yes"
NA NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" "Yes"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Very Low" "Yes"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "No"
NA NA "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
NA "Freelancer" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "60+" "Other" "Very Low" NA
"Walking" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Somewhere In The Middle" "No"
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Rather Low" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "Yes"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Higher Management" "Somewhere In The Middle" "Yes"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "No"
NA NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Design" "Very Low" NA
"Walking" "Employee" "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "40-49" "Other" "Rather Low" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "No Education" "Not Home Office" "40-49" "Other" "Very Low" "Yes"
"Walking" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "No"
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Art" "Very Low" NA
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
NA NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "PR, Marketing, Sales, Advertising" "Somewhere In The Middle" "No"
NA NA "Female" "Married" "Health Insurance" "Master" "Not Home Office" "40-49" NA "Somewhere In The Middle" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Higher Management" "Somewhere In The Middle" "No"
